pfam_id	pfam38_0_name	pfam38_2_name	pfam38_2_description	agreement_class	evidence_summary	successful_pairs	liberal_pairs	strict_pairs
PF01345	DUF11	CLIPPER	CLIPPER domain	broader process	Type IX secretion and cell-envelope partners are consistent with an envelope-associated context but do not define CLIPPER function.	44	16	7
PF01732	Mycop_pep_DUF31	Myco_protease	Mycoplasma immunoglobulin protease	specific	Immunoglobulin-binding and immunoglobulin-blocking partners are consistent with a Mycoplasma immunoglobulin protease system.	9	3	3
PF02594	DUF167	PF1765-like	PF1765 protein family	no clear relationship	The observed partners do not indicate a specific relationship to the PF1765-like family assignment.	10	1	0
PF04685	DUF608	GH116_catalytic	Glycosyl-hydrolase family 116, catalytic region	specific	Beta-glucosidase and GH116-containing partners are consistent with the GH116 catalytic-region assignment.	10	5	3
PF06075	DUF936	CORD_N	CORD, N-terminal domain	no clear relationship	The single partner does not indicate a relationship to the CORD N-terminal assignment.	1	0	0
PF06672	DUF1175	MagC	MagC peptidoglycan-binding NlpC/P60-like protein	broader process	Alpha-2-macroglobulin and YfaP-associated partners are consistent with a bacterial envelope or protease-defense system but not the specific MagC function.	4	2	1
PF07849	DUF1641	HMP	Helical membrane plugin	broader process	Formate dehydrogenase and oxidoreductase partners are consistent with a membrane respiratory-complex context without defining the helical membrane plugin role.	11	5	0
PF09836	DUF2063	HvfC_N	HvfC C-terminal domain	specific	BufA1- and MNIO-associated partners are consistent with the HvfC/BufC role in bufferin precursor modification.	7	2	1
PF09906	DUF2135	YfaP_C	YfaP C-terminal domain	broader process	Alpha-2-macroglobulin and MagC partners are consistent with the same bacterial envelope or protease-defense system without defining YfaP function.	6	3	1
PF09979	DUF2213	Pa193_gp24	Pa193 gp24 scaffolding protein	broader process	Phage structural and packaging partners indicate a phage-assembly context but do not specifically identify the gp24 scaffolding function.	12	2	0
PF10022	DUF2264	BcGHD	Beta-D-glucuronate dehydratase family	no clear relationship	Predominantly self-annotations and ABC-transporter partners do not indicate beta-D-glucuronate dehydratase function.	20	3	2
PF10048	DUF2282	BufA1	BufA1 family periplasmic bufferin-type metallophore	specific	HvfC/BufC-associated partners are consistent with BufA1 as a bufferin metallophore precursor.	4	1	0
PF10240	DUF2464	MABP	MABP domain	specific	VPS37B, TSG101 and VPS28 partners place the domain in the ESCRT-I context associated with MABP/MVB12.	7	2	0
PF10709	DUF2511	YebY	Protein YebY	specific	The YebZ partner places YebY in the named AZY copper-uptake system.	1	0	0
PF11175	DUF2961	GH172_2nd	GH172 second beta-sandwich domain	broader process	Glycosyl hydrolase and carbohydrate-binding partners are consistent with carbohydrate processing without identifying the GH172 domain specifically.	5	0	0
PF11816	DUF3337	Ubl_WDR48-Bun107	WDR48/Bun107, ubiquitin-like domain	specific	USP1 and Fanconi-pathway partners are consistent with the WDR48/Bun107 ubiquitin-associated context.	19	1	0
